,winner,loser,weight_class,event
21,Submission (reverse calf slicer),1:43,Eric Wisely,UFC_on_FX_Johnson_vs_McCall
22,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Shane Roller,UFC_on_FX_Johnson_vs_McCall
23,KO (punches),4:24,Joey Beltran,UFC_on_FX_Johnson_vs_McCall
24,Submission (guillotine choke),1:08,Dustin Jacoby,UFC_on_FX_Johnson_vs_McCall
25,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Diego Sanchez,UFC_on_FX_Johnson_vs_McCall
26,TKO (punches),3:52,Dave Herman,UFC_on_FX_Johnson_vs_McCall
27,"Decision (split) (29\xe2\x80\x9328, 28\xe2\x80\x9329, 29\xe2\x80\x9328)",5:00,Aaron Simpson,UFC_on_FX_Johnson_vs_McCall
28,KO (punches),0:43,Phil De Fries,UFC_on_FX_Johnson_vs_McCall
29,"Decision (unanimous) (30\xe2\x80\x9325, 30\xe2\x80\x9325, 30\xe2\x80\x9326)",5:00,Walel Watson,UFC_on_FX_Johnson_vs_McCall
30,Submission (rear-naked choke),3:45,John Albert,UFC_on_FX_Johnson_vs_McCall
31,KO (punches),1:32,Vagner Rocha,UFC_on_FX_Johnson_vs_McCall
32,"Decision (unanimous) (30\xe2\x80\x9327, 30\xe2\x80\x9327, 29\xe2\x80\x9328)",5:00,Anton Kuivanen,UFC_on_FX_Johnson_vs_McCall
33,"Decision (unanimous) (30\xe2\x80\x9327, 30\xe2\x80\x9326, 30\xe2\x80\x9326)",5:00,Bernardo Magalhaes,UFC_on_FX_Johnson_vs_McCall
34,Technical Submission (D\'Arce choke),1:07,Dustin Poirier,UFC_on_FX_Johnson_vs_McCall
35,"Decision (split) (28\xe2\x80\x9329, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,Jorge Lopez,UFC_on_FX_Johnson_vs_McCall
36,"Decision (unanimous) (30\xe2\x80\x9327, 30\xe2\x80\x9327, 30\xe2\x80\x9327)",5:00,Jeremy Stephens,UFC_on_FX_Johnson_vs_McCall
37,"Decision (unanimous) (30\xe2\x80\x9327, 30\xe2\x80\x9326, 30\xe2\x80\x9327)",5:00,Jeff Hougland,UFC_on_FX_Johnson_vs_McCall
