,winner,loser,event
0,Ovince Saint Preux,Yushin Okami,UFC_Fight_Night_Saint_Preux_vs_Okami
1,J\xc3\xa9ssica Andrade,Cl\xc3\xa1udia Gadelha,UFC_Fight_Night_Saint_Preux_vs_Okami
2,Dong Hyun Ma,Takanori Gomi,UFC_Fight_Night_Saint_Preux_vs_Okami
3,G\xc3\xb6khan Saki,Henrique da Silva,UFC_Fight_Night_Saint_Preux_vs_Okami
4,Teruto Ishihara,Rolando Dy,UFC_Fight_Night_Saint_Preux_vs_Okami
5,Jussier Formiga,Ulka Sasaki,UFC_Fight_Night_Saint_Preux_vs_Okami
6,Keita Nakamura,Alex Morono,UFC_Fight_Night_Saint_Preux_vs_Okami
7,Syuri Kondo,Chan-Mi Jeon,UFC_Fight_Night_Saint_Preux_vs_Okami
8,Shinsho Anzai,Luke Jumeau,UFC_Fight_Night_Saint_Preux_vs_Okami
9,Daichi Abe,Hyun Gyu Lim,UFC_Fight_Night_Saint_Preux_vs_Okami
