,winner,loser,event
0,Israel Adesanya,Brad Tavares,The_Ultimate_Fighter_Undefeated
1,Michael Trizano,Joe Giannetti,The_Ultimate_Fighter_Undefeated
2,Brad Katona,Jay Cucciniello,The_Ultimate_Fighter_Undefeated
3,Alex Caceres,Mart\xc3\xadn Bravo,The_Ultimate_Fighter_Undefeated
4,Roxanne Modafferi,Barb Honchak,The_Ultimate_Fighter_Undefeated
5,Alessio Di Chirico,Julian Marquez,The_Ultimate_Fighter_Undefeated
6,Montana De La Rosa,Rachael Ostovich,The_Ultimate_Fighter_Undefeated
7,Luis Pe\xc3\xb1a,Richie Smullen,The_Ultimate_Fighter_Undefeated
8,John Gunther,Allan Zu\xc3\xb1iga,The_Ultimate_Fighter_Undefeated
9,Bryce Mitchell,Tyler Diamond,The_Ultimate_Fighter_Undefeated
10,Steven Peterson,Matt Bessette,The_Ultimate_Fighter_Undefeated
11,Gerald Meerschaert,Oskar Piechota,The_Ultimate_Fighter_Undefeated
