,winner,loser,weight_class,event
0,Randy Couture,Maurice Smith (c),Heavyweight,UFC_Japan_Ultimate_Japan
1,Kazushi Sakuraba,Marcus Silveira,Heavyweight,UFC_Japan_Ultimate_Japan
2,Vitor Belfort,Joe Charles,Heavyweight,UFC_Japan_Ultimate_Japan
3,Frank Shamrock,Kevin Jackson,Middleweight,UFC_Japan_Ultimate_Japan
4,Kazushi Sakuraba,Marcus Silveira,Heavyweight,UFC_Japan_Ultimate_Japan
5,Tank Abbott,Yoji Anjo,Heavyweight,UFC_Japan_Ultimate_Japan
6,Tra Telligman,Brad Kohler,Heavyweight,UFC_Japan_Ultimate_Japan
