,winner,loser,weight_class,event
0,Amanda Nunes (c),Raquel Pennington,Women\'s Bantamweight,UFC_224
1,Kelvin Gastelum,Ronaldo Souza,Middleweight,UFC_224
2,Mackenzie Dern,Amanda Cooper,Catchweight (123 lbs),UFC_224
3,John Lineker,Brian Kelleher,Bantamweight,UFC_224
4,Lyoto Machida,Vitor Belfort,Middleweight,UFC_224
5,Cezar Ferreira,Karl Roberson,Middleweight,UFC_224
6,Aleksei Oleinik,J\xc3\xbanior Albini,Heavyweight,UFC_224
7,Davi Ramos,Nick Hein,Lightweight,UFC_224
8,Elizeu Zaleski dos Santos,Sean Strickland,Welterweight,UFC_224
9,Warlley Alves,Sultan Aliev,Welterweight,UFC_224
10,Jack Hermansson,Thales Leites,Middleweight,UFC_224
11,Ramazan Emeev,Alberto Mina,Welterweight,UFC_224
12,Markus Perez Echeimberg,James Bochnovic,Middleweight,UFC_224
