,winner,loser,weight_class,event
0,Cain Velasquez,Junior dos Santos (c),Heavyweight,UFC_155
1,Jim Miller,Joe Lauzon,Lightweight,UFC_155
2,Costas Philippou,Tim Boetsch,Middleweight,UFC_155
3,Yushin Okami,Alan Belcher,Middleweight,UFC_155
4,Derek Brunson,Chris Leben,Middleweight,UFC_155
5,Eddie Wineland,Brad Pickett,Bantamweight,UFC_155
6,\xc3\x89rik P\xc3\xa9rez,Byron Bloodworth,Bantamweight,UFC_155
7,Jamie Varner,Melvin Guillard,Lightweight,UFC_155
8,Myles Jury,Michael Johnson,Lightweight,UFC_155
9,Todd Duffee,Phil De Fries,Heavyweight,UFC_155
10,Max Holloway,Leonard Garcia,Featherweight,UFC_155
11,John Moraga,Chris Cariaso,Flyweight,UFC_155
