,winner,loser,weight_class,event
0,Charles Oliveira,Kevin Lee,Catchweight (158.5 lbs),UFC_Fight_Night_Lee_vs_Oliveira
1,Gilbert Burns,Demian Maia,Welterweight,UFC_Fight_Night_Lee_vs_Oliveira
2,Renato Moicano,Damir Had\xc5\xbeovi\xc4\x87,Lightweight,UFC_Fight_Night_Lee_vs_Oliveira
3,Nikita Krylov,Johnny Walker,Light Heavyweight,UFC_Fight_Night_Lee_vs_Oliveira
4,Francisco Trinaldo,John Makdessi,Lightweight,UFC_Fight_Night_Lee_vs_Oliveira
5,Brandon Moreno,Jussier Formiga,Flyweight,UFC_Fight_Night_Lee_vs_Oliveira
6,Amanda Ribas,Randa Markos,Women\'s Strawweight,UFC_Fight_Night_Lee_vs_Oliveira
7,Elizeu Zaleski dos Santos,Alexey Kunchenko,Welterweight,UFC_Fight_Night_Lee_vs_Oliveira
8,Enrique Barzola,Rani Yahya,Bantamweight,UFC_Fight_Night_Lee_vs_Oliveira
9,Maryna Moroz,Mayra Bueno Silva,Women\'s Flyweight,UFC_Fight_Night_Lee_vs_Oliveira
10,David Dvo\xc5\x99\xc3\xa1k,Bruno Gustavo da Silva,Flyweight,UFC_Fight_Night_Lee_vs_Oliveira
11,Bea Malecki,Veronica Macedo,Women\'s Bantamweight,UFC_Fight_Night_Lee_vs_Oliveira
