,winner,loser,weight_class,event
0,Brock Lesnar (c),Frank Mir (ic),Heavyweight,UFC_100
1,Georges St-Pierre (c),Thiago Alves,Welterweight,UFC_100
2,Dan Henderson,Michael Bisping,Middleweight,UFC_100
3,Jon Fitch,Paulo Thiago,Welterweight,UFC_100
4,Yoshihiro Akiyama,Alan Belcher,Middleweight,UFC_100
5,Mark Coleman,Stephan Bonnar,Light Heavyweight,UFC_100
6,Jon Jones,Jake O\'Brien,Light Heavyweight,UFC_100
7,Jim Miller,Mac Danzig,Lightweight,UFC_100
8,Dong Hyun Kim,TJ Grant,Welterweight,UFC_100
9,Tom Lawlor,C.B. Dollaway,Middleweight,UFC_100
10,Shannon Gugerty,Matt Grice,Lightweight,UFC_100
