,winner,loser,weight_class,event
0,Randy Couture,Brandon Vera,Light Heavyweight,UFC_105
1,Dan Hardy,Mike Swick,Welterweight,UFC_105
2,Michael Bisping,Denis Kang,Middleweight,UFC_105
3,Matt Brown,James Wilks,Welterweight,UFC_105
4,Ross Pearson,Aaron Riley,Lightweight,UFC_105
5,John Hathaway,Paul Taylor,Welterweight,UFC_105
6,Terry Etim,Shannon Gugerty,Lightweight,UFC_105
7,Nick Osipczak,Matthew Riddle,Welterweight,UFC_105
8,Dennis Siver,Paul Kelly,Lightweight,UFC_105
9,Alexander Gustafsson,Jared Hamman,Light Heavyweight,UFC_105
10,Andre Winner,Rolando Delgado,Lightweight,UFC_105
