,winner,loser,event
0,Frankie Edgar,Chad Mendes,The_Ultimate_Fighter_Team_McGregor_vs_Team_Faber
1,Ryan Hall,Artem Lobov,The_Ultimate_Fighter_Team_McGregor_vs_Team_Faber
2,Tony Ferguson,Edson Barboza,The_Ultimate_Fighter_Team_McGregor_vs_Team_Faber
3,Evan Dunham,Joe Lauzon,The_Ultimate_Fighter_Team_McGregor_vs_Team_Faber
4,Tatsuya Kawajiri,Jason Knight,The_Ultimate_Fighter_Team_McGregor_vs_Team_Faber
5,Julian Erosa,Marcin Wrzosek,The_Ultimate_Fighter_Team_McGregor_vs_Team_Faber
6,Gabriel Gonzaga,Konstantin Erokhin,The_Ultimate_Fighter_Team_McGregor_vs_Team_Faber
7,Ryan LaFlare,Mike Pierce,The_Ultimate_Fighter_Team_McGregor_vs_Team_Faber
8,Geane Herrera,Joby Sanchez,The_Ultimate_Fighter_Team_McGregor_vs_Team_Faber
9,Chris Gruetzemacher,Abner Lloveras,The_Ultimate_Fighter_Team_McGregor_vs_Team_Faber
