,winner,loser,event
0,Stipe Miocic,Fabr\xc3\xadcio Werdum (c),UFC_198
1,Ronaldo Souza,Vitor Belfort,UFC_198
2,Cris Cyborg,Leslie Smith,UFC_198
3,Maur\xc3\xadcio Rua,Corey Anderson,UFC_198
4,Bryan Barberena,Warlley Alves,UFC_198
5,Demian Maia,Matt Brown,UFC_198
6,Thiago Santos,Nate Marquardt,UFC_198
7,Francisco Trinaldo,Yancy Medeiros,UFC_198
8,John Lineker,Rob Font,UFC_198
9,Ant\xc3\xb4nio Rog\xc3\xa9rio Nogueira,Patrick Cummins,UFC_198
10,S\xc3\xa9rgio Moraes,Luan Chagas,UFC_198
11,Renato Moicano,Zubaira Tukhugov,UFC_198
