,winner,loser,weight_class,event
0,Cris Cyborg (c),Yana Kunitskaya,Women\'s Featherweight,UFC_222
1,Brian Ortega,Frankie Edgar,Featherweight,UFC_222
2,Sean O\xe2\x80\x99Malley,Andre Soukhamthath,Bantamweight,UFC_222
3,Andrei Arlovski,Stefan Struve,Heavyweight,UFC_222
4,Ketlen Vieira,Cat Zingano,Women\'s Bantamweight,UFC_222
5,Mackenzie Dern,Ashley Yoder,Women\'s Strawweight,UFC_222
6,Alexander Hernandez,Beneil Dariush,Lightweight,UFC_222
7,John Dodson,Pedro Munhoz,Bantamweight,UFC_222
8,C.B. Dollaway,Hector Lombard,Middleweight,UFC_222
9,Zak Ottow,Mike Pyle,Welterweight,UFC_222
10,Cody Stamann,Bryan Caraway,Bantamweight,UFC_222
11,Jordan Johnson,Adam Milstead,Light Heavyweight,UFC_222
