,winner,loser,event
0,Lyoto Machida,C.B. Dollaway,UFC_Fight_Night_Machida_vs_Dollaway
1,Renan Bar\xc3\xa3o,Mitch Gagnon,UFC_Fight_Night_Machida_vs_Dollaway
2,Patrick Cummins,Ant\xc3\xb4nio Carlos J\xc3\xbanior,UFC_Fight_Night_Machida_vs_Dollaway
3,Rashid Magomedov,Elias Silv\xc3\xa9rio,UFC_Fight_Night_Machida_vs_Dollaway
4,Erick Silva,Mike Rhodes,UFC_Fight_Night_Machida_vs_Dollaway
5,Daniel Sarafian,Ant\xc3\xb4nio dos Santos Jr.,UFC_Fight_Night_Machida_vs_Dollaway
6,Marcos Rog\xc3\xa9rio de Lima,Igor Pokrajac,UFC_Fight_Night_Machida_vs_Dollaway
7,Renato Moicano,Tom Niinim\xc3\xa4ki,UFC_Fight_Night_Machida_vs_Dollaway
8,Hacran Dias,Darren Elkins,UFC_Fight_Night_Machida_vs_Dollaway
9,Leandro Issa,Yuta Sasaki,UFC_Fight_Night_Machida_vs_Dollaway
10,Tim Means,M\xc3\xa1rcio Alexandre Jr.,UFC_Fight_Night_Machida_vs_Dollaway
11,Vitor Miranda,Jake Collier,UFC_Fight_Night_Machida_vs_Dollaway
