,winner,loser,weight_class,event
0,Robbie Lawler,Johny Hendricks (c),Welterweight,UFC_181
1,Anthony Pettis (c),Gilbert Melendez,Lightweight,UFC_181
2,Travis Browne,Brendan Schaub,Heavyweight,UFC_181
3,Todd Duffee,Anthony Hamilton,Heavyweight,UFC_181
4,Tony Ferguson,Abel Trujillo,Lightweight,UFC_181
5,Urijah Faber,Francisco Rivera,Bantamweight,UFC_181
6,Josh Samman,Eddie Gordon,Middleweight,UFC_181
7,Corey Anderson,Justin Jones,Light Heavyweight,UFC_181
8,Raquel Pennington,Ashlee Evans-Smith,Women\'s Bantamweight,UFC_181
9,Sergio Pettis,Matt Hobar,Bantamweight,UFC_181
10,Clay Collard,Alex White,Featherweight,UFC_181
