,winner,loser,weight_class,event
0,Renan Bar\xc3\xa3o (c),Urijah Faber,Bantamweight,UFC_169
1,Jos\xc3\xa9 Aldo (c),Ricardo Lamas,Featherweight,UFC_169
2,Alistair Overeem,Frank Mir,Heavyweight,UFC_169
3,Ali Bagautinov,John Lineker,Flyweight,UFC_169
4,Abel Trujillo,Jamie Varner,Lightweight,UFC_169
5,Alan Patrick,John Makdessi,Lightweight,UFC_169
6,Chris Cariaso,Danny Martinez,Flyweight,UFC_169
7,Nick Catone,Tom Watson,Middleweight,UFC_169
8,Al Iaquinta,Kevin Lee,Lightweight,UFC_169
9,Clint Hester,Andy Enz,Middleweight,UFC_169
10,Rashid Magomedov,Tony Martin,Lightweight,UFC_169
11,Neil Magny,Gasan Umalatov,Welterweight,UFC_169
