,winner,loser,weight_class,event
0,Israel Adesanya (ic),Robert Whittaker (c),Middleweight,UFC_243
1,Dan Hooker,Al Iaquinta,Lightweight,UFC_243
2,Sergey Spivak,Tai Tuivasa,Heavyweight,UFC_243
3,Dhiego Lima,Luke Jumeau,Welterweight,UFC_243
4,Yorgan de Castro,Justin Tafa,Heavyweight,UFC_243
5,Jake Matthews,Rostem Akman,Welterweight,UFC_243
6,Callan Potter,Maki Pitolo,Welterweight,UFC_243
7,Brad Riddell,Jamie Mullarkey,Lightweight,UFC_243
8,Megan Anderson,Zarah Fairn dos Santos,Women\xe2\x80\x99s Featherweight,UFC_243
9,Ji Yeon Kim,Nadia Kassem,Catchweight (128 lbs),UFC_243
10,Khalid Taha,Bruno Gustavo da Silva,Catchweight (137 lbs),UFC_243
