,winner,loser,event
0,Carlos Condit,Martin Kampmann,UFC_Fight_Night_Condit_vs_Kampmann_2
1,Rafael dos Anjos,Donald Cerrone,UFC_Fight_Night_Condit_vs_Kampmann_2
2,Kelvin Gastelum,Brian Melancon,UFC_Fight_Night_Condit_vs_Kampmann_2
3,Court McGee,Robert Whittaker,UFC_Fight_Night_Condit_vs_Kampmann_2
4,Takeya Mizugaki,\xc3\x89rik P\xc3\xa9rez,UFC_Fight_Night_Condit_vs_Kampmann_2
5,Brad Tavares,Bubba McDaniel,UFC_Fight_Night_Condit_vs_Kampmann_2
6,Dylan Andrews,Papy Abedi,UFC_Fight_Night_Condit_vs_Kampmann_2
7,Brandon Thatch,Justin Edwards,UFC_Fight_Night_Condit_vs_Kampmann_2
8,Darren Elkins,Hatsu Hioki,UFC_Fight_Night_Condit_vs_Kampmann_2
9,Jason High,James Head,UFC_Fight_Night_Condit_vs_Kampmann_2
10,Zak Cummings,Ben Alloway,UFC_Fight_Night_Condit_vs_Kampmann_2
11,Roger Bowling,Abel Trujillo,UFC_Fight_Night_Condit_vs_Kampmann_2
