,winner,loser,event
57,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,UFC_on_Fox_Evans_vs_Davis
58,"Decision (unanimous) (49\xe2\x80\x9346, 50\xe2\x80\x9345, 49\xe2\x80\x9346)",5:00,UFC_on_Fox_Evans_vs_Davis
59,"Decision (split) (29\xe2\x80\x9328, 28\xe2\x80\x9329, 29\xe2\x80\x9328)",5:00,UFC_on_Fox_Evans_vs_Davis
60,"Decision (unanimous) (30\xe2\x80\x9328, 30\xe2\x80\x9327, 30\xe2\x80\x9327)",5:00,UFC_on_Fox_Evans_vs_Davis
61,"Decision (split) (29\xe2\x80\x9328, 28\xe2\x80\x9329, 29\xe2\x80\x9328)",5:00,UFC_on_Fox_Evans_vs_Davis
62,No Contest,2:02,UFC_on_Fox_Evans_vs_Davis
63,"Decision (unanimous) (29\xe2\x80\x9328, 29\xe2\x80\x9328, 29\xe2\x80\x9328)",5:00,UFC_on_Fox_Evans_vs_Davis
64,No Contest,4:19,UFC_on_Fox_Evans_vs_Davis
65,KO (punch),0:07,UFC_on_Fox_Evans_vs_Davis
66,Submission (rear-naked choke),1:39,UFC_on_Fox_Evans_vs_Davis
67,KO (punches),1:11,UFC_on_Fox_Evans_vs_Davis
68,"Decision (split) (29\xe2\x80\x9328, 28\xe2\x80\x9329, 29\xe2\x80\x9328)",5:00,UFC_on_Fox_Evans_vs_Davis
