,winner,loser,weight_class,event
0,Yoel Romero,Luke Rockhold,Catchweight (187.7 lbs),UFC_221
1,Curtis Blaydes,Mark Hunt,Heavyweight,UFC_221
2,Tai Tuivasa,Cyril Asker,Heavyweight,UFC_221
3,Jake Matthews,Li Jingliang,Welterweight,UFC_221
4,Tyson Pedro,Saparbek Safarov,Light Heavyweight,UFC_221
5,Dong Hyun Ma,Damien Brown,Lightweight,UFC_221
6,Israel Adesanya,Rob Wilkinson,Middleweight,UFC_221
7,Alexander Volkanovski,Jeremy Kennedy,Featherweight,UFC_221
8,Jussier Formiga,Ben Nguyen,Flyweight,UFC_221
9,Ross Pearson,Mizuto Hirota,Lightweight,UFC_221
10,Jos\xc3\xa9 Alberto Qui\xc3\xb1\xc3\xb3nez,Teruto Ishihara,Bantamweight,UFC_221
11,Luke Jumeau,Daichi Abe,Welterweight,UFC_221
