,winner,loser,weight_class,event
0,Fabr\xc3\xadcio Werdum (ic),Cain Velasquez (c),Heavyweight,UFC_188
1,Eddie Alvarez,Gilbert Melendez,Lightweight,UFC_188
2,Kelvin Gastelum,Nate Marquardt,Middleweight,UFC_188
3,Yair Rodr\xc3\xadguez,Charles Rosa,Featherweight,UFC_188
4,Tecia Torres,Angela Hill,Women\'s Strawweight,UFC_188
5,Henry Cejudo,Chico Camus,Flyweight,UFC_188
6,Efrain Escudero,Drew Dober,Lightweight,UFC_188
7,Patrick Williams,Alejandro P\xc3\xa9rez,Bantamweight,UFC_188
8,Johnny Case,Francisco Trevino,Lightweight,UFC_188
9,Cathal Pendred,Augusto Monta\xc3\xb1o,Welterweight,UFC_188
10,Gabriel Ben\xc3\xadtez,Clay Collard,Featherweight,UFC_188
