,winner,loser,event
0,Daniel Cormier (c),Anthony Johnson,UFC_210
1,Gegard Mousasi,Chris Weidman,UFC_210
2,Cynthia Calvillo,Pearl Gonzalez,UFC_210
3,Thiago Alves,Patrick C\xc3\xb4t\xc3\xa9,UFC_210
4,Charles Oliveira,Will Brooks,UFC_210
5,Myles Jury,Mike De La Torre,UFC_210
6,Kamaru Usman,Sean Strickland,UFC_210
7,Shane Burgos,Charles Rosa,UFC_210
8,Patrick Cummins,Jan B\xc5\x82achowicz,UFC_210
9,Gregor Gillespie,Andrew Holbrook,UFC_210
10,Desmond Green,Josh Emmett,UFC_210
11,Katlyn Chookagian,Irene Aldana,UFC_210
12,Magomed Bibulatov,Jenel Lausa,UFC_210
