,winner,loser,event
0,Donald Cerrone,Yancy Medeiros,UFC_Fight_Night_Cowboy_vs_Medeiros
1,Derrick Lewis,Marcin Tybura,UFC_Fight_Night_Cowboy_vs_Medeiros
2,James Vick,Francisco Trinaldo,UFC_Fight_Night_Cowboy_vs_Medeiros
3,Curtis Millender,Thiago Alves,UFC_Fight_Night_Cowboy_vs_Medeiros
4,Brandon Davis,Steven Peterson,UFC_Fight_Night_Cowboy_vs_Medeiros
5,Sage Northcutt,Thibault Gouti,UFC_Fight_Night_Cowboy_vs_Medeiros
6,Carlos Diego Ferreira,Jared Gordon,UFC_Fight_Night_Cowboy_vs_Medeiros
7,Geoff Neal,Brian Camozzi,UFC_Fight_Night_Cowboy_vs_Medeiros
8,Roberto Sanchez,Joby Sanchez,UFC_Fight_Night_Cowboy_vs_Medeiros
9,Lucie Pudilov\xc3\xa1,Sarah Moras,UFC_Fight_Night_Cowboy_vs_Medeiros
10,Alex Morono,Josh Burkman,UFC_Fight_Night_Cowboy_vs_Medeiros
11,Oskar Piechota,Tim Williams,UFC_Fight_Night_Cowboy_vs_Medeiros
