,winner,loser,weight_class,event
0,Jon Jones (c),Daniel Cormier,Light Heavyweight,UFC_182
1,Donald Cerrone,Myles Jury,Lightweight,UFC_182
2,Brad Tavares,Nate Marquardt,Middleweight,UFC_182
3,Kyoji Horiguchi,Louis Gaudinot,Flyweight,UFC_182
4,Hector Lombard,Josh Burkman,Welterweight,UFC_182
5,Paul Felder,Danny Castillo,Lightweight,UFC_182
6,Cody Garbrandt,Marcus Brimage,Bantamweight,UFC_182
7,Shawn Jordan,Jared Cannonier,Heavyweight,UFC_182
8,Evan Dunham,Rodrigo Damm,Lightweight,UFC_182
9,Omari Akhmedov,Mats Nilsson,Welterweight,UFC_182
10,Marion Reneau,Alexis Dufresne,Catchweight (138 lbs),UFC_182
