,winner,loser,weight_class,event
0,Jos\xc3\xa9 Aldo (c),Chad Mendes,Featherweight,UFC_176
1,Ronaldo Souza,Gegard Mousasi,Middleweight,UFC_176
2,Gray Maynard,Fabr\xc3\xadcio Cam\xc3\xb5es,Lightweight,UFC_176
3,Bethe Correia,Shayna Baszler,Women\'s Bantamweight,UFC_176
4,Jussier Formiga,Zach Makovsky,Flyweight,UFC_176
5,James Vick,Valmir Lazaro,Lightweight,UFC_176
6,Lorenz Larkin,Derek Brunson,Middleweight,UFC_176
7,Bobby Green,Abel Trujillo,Lightweight,UFC_176
8,Tony Ferguson,Danny Castillo,Lightweight,UFC_176
9,Beneil Dariush,Tony Martin,Lightweight,UFC_176
10,Alex Garcia,Matt Dwyer,Welterweight,UFC_176
11,Scott Voss,Ken Dietrich,Heavyweight,UFC_176
