,winner,loser,weight_class,event
0,Rashad Evans,Forrest Griffin (c),Light Heavyweight,UFC_92
1,Frank Mir,Ant\xc3\xb4nio Rodrigo Nogueira (ic),Heavyweight,UFC_92
2,C.B. Dollaway,Mike Massenzio,Middleweight,UFC_92
3,Quinton Jackson,Wanderlei Silva,Light Heavyweight,UFC_92
4,Cheick Kongo,Mostapha al-Turk,Heavyweight,UFC_92
5,Yushin Okami,Dean Lister,Middleweight,UFC_92
6,Antoni Hardonk,Mike Wessel,Heavyweight,UFC_92
7,Matt Hamill,Reese Andy,Light Heavyweight,UFC_92
8,Brad Blackburn,Ryo Chonan,Welterweight,UFC_92
9,Pat Barry,Dan Evensen,Heavyweight,UFC_92
