,winner,loser,event
0,J\xc3\xa9ssica Andrade,Rose Namajunas (c),UFC_237
1,Jared Cannonier,Anderson Silva,UFC_237
2,Alexander Volkanovski,Jos\xc3\xa9 Aldo,UFC_237
3,Laureano Staropoli,Thiago Alves,UFC_237
4,Irene Aldana,Bethe Correia,UFC_237
5,Ryan Spann,Ant\xc3\xb4nio Rog\xc3\xa9rio Nogueira,UFC_237
6,Thiago Mois\xc3\xa9s,Kurt Holobaugh,UFC_237
7,Warlley Alves,S\xc3\xa9rgio Moraes,UFC_237
8,Clay Guida,B.J. Penn,UFC_237
9,Luana Carolina,Priscila Cachoeira,UFC_237
10,Raoni Barcelos,Carlos Huachin,UFC_237
11,Viviane Ara\xc3\xbajo,Talita Bernardo,UFC_237
