,winner,loser,event
0,Anthony Johnson,Alexander Gustafsson,UFC_on_Fox_Gustafsson_vs_Johnson
1,Gegard Mousasi,Dan Henderson,UFC_on_Fox_Gustafsson_vs_Johnson
2,Ryan Bader,Phil Davis,UFC_on_Fox_Gustafsson_vs_Johnson
3,Sam Sicilia,Akira Corassani,UFC_on_Fox_Gustafsson_vs_Johnson
4,Albert Tumenov,Nico Musoke,UFC_on_Fox_Gustafsson_vs_Johnson
5,Kenny Robertson,Sultan Aliev,UFC_on_Fox_Gustafsson_vs_Johnson
6,Makwan Amirkhani,Andy Ogle,UFC_on_Fox_Gustafsson_vs_Johnson
7,Nikita Krylov,Stanislav Nedkov,UFC_on_Fox_Gustafsson_vs_Johnson
8,Mairbek Taisumov,Anthony Christodoulou,UFC_on_Fox_Gustafsson_vs_Johnson
9,Mirsad Bekti\xc4\x87,Paul Redmond,UFC_on_Fox_Gustafsson_vs_Johnson
10,Viktor Pe\xc5\xa1ta,Konstantin Erokhin,UFC_on_Fox_Gustafsson_vs_Johnson
11,Neil Seery,Chris Beal,UFC_on_Fox_Gustafsson_vs_Johnson
