,winner,loser,weight_class,event
0,Jon Jones (c),Vitor Belfort,Light Heavyweight,UFC_152
1,Demetrious Johnson,Joseph Benavidez,Flyweight,UFC_152
2,Michael Bisping,Brian Stann,Middleweight,UFC_152
3,Matt Hamill,Roger Hollett,Light Heavyweight,UFC_152
4,Cub Swanson,Charles Oliveira,Featherweight,UFC_152
5,Vinny Magalh\xc3\xa3es,Igor Pokrajac,Light Heavyweight,UFC_152
6,TJ Grant,Evan Dunham,Lightweight,UFC_152
7,Sean Pierson,Lance Benoist,Welterweight,UFC_152
8,Marcus Brimage,Jimy Hettes,Featherweight,UFC_152
9,Seth Baczynski,Simeon Thoresen,Welterweight,UFC_152
10,Mitch Gagnon,Walel Watson,Bantamweight,UFC_152
11,Kyle Noke,Charlie Brenneman,Welterweight,UFC_152
