,winner,loser,event
0,Brian Ortega,Cub Swanson,UFC_Fight_Night_Swanson_vs_Ortega
1,Gabriel Ben\xc3\xadtez,Jason Knight,UFC_Fight_Night_Swanson_vs_Ortega
2,Marlon Moraes,Aljamain Sterling,UFC_Fight_Night_Swanson_vs_Ortega
3,Scott Holtzman,Darrell Horcher,UFC_Fight_Night_Swanson_vs_Ortega
4,Eryk Anders,Markus Perez Echeimberg,UFC_Fight_Night_Swanson_vs_Ortega
5,Benito Lopez,Albert Morales,UFC_Fight_Night_Swanson_vs_Ortega
6,Alexis Davis,Liz Carmouche,UFC_Fight_Night_Swanson_vs_Ortega
7,Andre Soukhamthath,Luke Sanders,UFC_Fight_Night_Swanson_vs_Ortega
8,Alex Perez,Carls John de Tomas,UFC_Fight_Night_Swanson_vs_Ortega
9,Frankie Saenz,Merab Dvalishvili,UFC_Fight_Night_Swanson_vs_Ortega
10,Alejandro P\xc3\xa9rez,Iuri Alc\xc3\xa2ntara,UFC_Fight_Night_Swanson_vs_Ortega
11,Davi Ramos,Chris Gruetzemacher,UFC_Fight_Night_Swanson_vs_Ortega
12,Trevin Giles,Ant\xc3\xb4nio Braga Neto,UFC_Fight_Night_Swanson_vs_Ortega
