,winner,loser,event
0,Darren Till,Stephen Thompson,UFC_Fight_Night_Thompson_vs_Till
1,Neil Magny,Craig White,UFC_Fight_Night_Thompson_vs_Till
2,Arnold Allen,Mads Burnell,UFC_Fight_Night_Thompson_vs_Till
3,Makwan Amirkhani,Jason Knight,UFC_Fight_Night_Thompson_vs_Till
4,Cl\xc3\xa1udio Silva,Nordine Taleb,UFC_Fight_Night_Thompson_vs_Till
5,Darren Stewart,Eric Spicely,UFC_Fight_Night_Thompson_vs_Till
6,Tom Breese,Dan Kelly,UFC_Fight_Night_Thompson_vs_Till
7,Lina L\xc3\xa4nsberg,Gina Mazany,UFC_Fight_Night_Thompson_vs_Till
8,Carlo Pedersoli Jr.,Brad Scott,UFC_Fight_Night_Thompson_vs_Till
9,Gillian Robertson,Molly McCann,UFC_Fight_Night_Thompson_vs_Till
10,Elias Theodorou,Trevor Smith,UFC_Fight_Night_Thompson_vs_Till
