,winner,loser,weight_class,event
0,Colby Covington,Robbie Lawler,Welterweight,UFC_on_ESPN_Covington_vs_Lawler
1,Jim Miller,Clay Guida,Lightweight,UFC_on_ESPN_Covington_vs_Lawler
2,Nasrat Haqparast,Joaquim Silva,Lightweight,UFC_on_ESPN_Covington_vs_Lawler
3,Gerald Meerschaert,Trevin Giles,Middleweight,UFC_on_ESPN_Covington_vs_Lawler
4,Scott Holtzman,Dong Hyun Ma,Catchweight (158 lbs.),UFC_on_ESPN_Covington_vs_Lawler
5,Kennedy Nzechukwu,Darko Sto\xc5\xa1i\xc4\x87,Light Heavyweight,UFC_on_ESPN_Covington_vs_Lawler
6,Mickey Gall,Salim Touahri,Welterweight,UFC_on_ESPN_Covington_vs_Lawler
7,Antonina Shevchenko,Lucie Pudilov\xc3\xa1,Women\'s Flyweight,UFC_on_ESPN_Covington_vs_Lawler
8,Matt Schnell,Jordan Espinosa,Flyweight,UFC_on_ESPN_Covington_vs_Lawler
9,Lauren Murphy,Mara Romero Borella,Women\'s Flyweight,UFC_on_ESPN_Covington_vs_Lawler
10,Cl\xc3\xa1udio Silva,Cole Williams,Catchweight (176 lbs),UFC_on_ESPN_Covington_vs_Lawler
11,Miranda Granger,Hannah Goldy,Women\'s Flyweight,UFC_on_ESPN_Covington_vs_Lawler
