,winner,loser,weight_class,event
0,Max Holloway (c),Frankie Edgar,Featherweight,UFC_240
1,Cris Cyborg,Felicia Spencer,Women\'s Featherweight,UFC_240
2,Geoff Neal,Niko Price,Welterweight,UFC_240
3,Arman Tsarukyan,Olivier Aubin-Mercier,Lightweight,UFC_240
4,Krzysztof Jotko,Marc-Andr\xc3\xa9 Barriault,Middleweight,UFC_240
5,Viviane Ara\xc3\xbajo,Alexis Davis,Women\'s Flyweight,UFC_240
6,Hakeem Dawodu,Yoshinori Horie,Featherweight,UFC_240
7,Gavin Tucker,Seung Woo Choi,Featherweight,UFC_240
8,Deiveson Figueiredo,Alexandre Pantoja,Flyweight,UFC_240
9,Gillian Robertson,Sarah Frota,Women\'s Flyweight,UFC_240
10,Erik Koch,Kyle Stewart,Welterweight,UFC_240
