,winner,loser,weight_class,event
0,Mark Mu\xc3\xb1oz,Chris Leben,Middleweight,UFC_138
1,Renan Bar\xc3\xa3o,Brad Pickett,Bantamweight,UFC_138
2,Thiago Alves,Papy Abedi,Welterweight,UFC_138
3,Anthony Perosh,Cyrille Diabat\xc3\xa9,Light Heavyweight,UFC_138
4,Terry Etim,Edward Faaloloto,Lightweight,UFC_138
5,John Maguire,Justin Edwards,Welterweight,UFC_138
6,Phil De Fries,Rob Broughton,Heavyweight,UFC_138
7,Michihiro Omigawa,Jason Young,Featherweight,UFC_138
8,Che Mills,Chris Cope,Welterweight,UFC_138
9,Chris Cariaso,Vaughan Lee,Bantamweight,UFC_138
