,winner,loser,weight_class,event
0,Derek Brunson,Lyoto Machida,Middleweight,UFC_Fight_Night_Brunson_vs_Machida
1,Colby Covington,Demian Maia,Welterweight,UFC_Fight_Night_Brunson_vs_Machida
2,Pedro Munhoz,Rob Font,Bantamweight,UFC_Fight_Night_Brunson_vs_Machida
3,Francisco Trinaldo,Jim Miller,Lightweight,UFC_Fight_Night_Brunson_vs_Machida
4,Thiago Santos,Jack Hermansson,Middleweight,UFC_Fight_Night_Brunson_vs_Machida
5,John Lineker,Marlon Vera,Bantamweight,UFC_Fight_Night_Brunson_vs_Machida
6,Vicente Luque,Niko Price,Welterweight,UFC_Fight_Night_Brunson_vs_Machida
7,Ant\xc3\xb4nio Carlos J\xc3\xbanior,Jack Marshman,Middleweight,UFC_Fight_Night_Brunson_vs_Machida
8,Jared Gordon,Hacran Dias,Lightweight,UFC_Fight_Night_Brunson_vs_Machida
9,Elizeu Zaleski dos Santos,Max Griffin,Welterweight,UFC_Fight_Night_Brunson_vs_Machida
10,Deiveson Figueiredo,Jarred Brooks,Flyweight,UFC_Fight_Night_Brunson_vs_Machida
11,Marcelo Golm,Christian Colombo,Heavyweight,UFC_Fight_Night_Brunson_vs_Machida
