,winner,loser,weight_class,event
0,Tim Kennedy,Michael Bisping,Middleweight,The_Ultimate_Fighter_Nations_Canada_vs_Australia
1,Patrick C\xc3\xb4t\xc3\xa9,Kyle Noke,Welterweight,The_Ultimate_Fighter_Nations_Canada_vs_Australia
2,Elias Theodorou,Sheldon Westcott,Middleweight,The_Ultimate_Fighter_Nations_Canada_vs_Australia
3,Chad Laprise,Olivier Aubin-Mercier,Welterweight,The_Ultimate_Fighter_Nations_Canada_vs_Australia
4,Dustin Poirier,Akira Corassani,Featherweight,The_Ultimate_Fighter_Nations_Canada_vs_Australia
5,K.J. Noons,Sam Stout,Welterweight,The_Ultimate_Fighter_Nations_Canada_vs_Australia
6,Sarah Kaufman,Leslie Smith,Women\'s Bantamweight,The_Ultimate_Fighter_Nations_Canada_vs_Australia
7,Ryan Jimmo,Sean O\'Connell,Light Heavyweight,The_Ultimate_Fighter_Nations_Canada_vs_Australia
8,George Roop,Dustin Kimura,Bantamweight,The_Ultimate_Fighter_Nations_Canada_vs_Australia
9,Mark Bocek,Mike De La Torre,Lightweight,The_Ultimate_Fighter_Nations_Canada_vs_Australia
10,Nordine Taleb,Vik Grujic,Middleweight,The_Ultimate_Fighter_Nations_Canada_vs_Australia
11,Richard Walsh,Chris Indich,Welterweight,The_Ultimate_Fighter_Nations_Canada_vs_Australia
12,Mitch Gagnon,Tim Gorman,Bantamweight,The_Ultimate_Fighter_Nations_Canada_vs_Australia
