,winner,loser,event
0,T.J. Dillashaw,Renan Bar\xc3\xa3o (c),UFC_173
1,Daniel Cormier,Dan Henderson,UFC_173
2,Robbie Lawler,Jake Ellenberger,UFC_173
3,Takeya Mizugaki,Francisco Rivera,UFC_173
4,James Krause,Jamie Varner,UFC_173
5,Michael Chiesa,Francisco Trinaldo,UFC_173
6,Tony Ferguson,Katsunori Kikuno,UFC_173
7,Chris Holdsworth,Chico Camus,UFC_173
8,Mitch Clarke,Al Iaquinta,UFC_173
9,Vinc Pichel,Anthony Njokuani,UFC_173
10,Sam Sicilia,Aaron Phillips,UFC_173
11,Li Jingliang,David Michaud,UFC_173
