,winner,loser,event
0,Curtis Blaydes,Junior dos Santos,UFC_Fight_Night_Blaydes_vs_dos_Santos
1,Michael Chiesa,Rafael dos Anjos,UFC_Fight_Night_Blaydes_vs_dos_Santos
2,Alex Perez,Jordan Espinosa,UFC_Fight_Night_Blaydes_vs_dos_Santos
3,Angela Hill,Hannah Cifers,UFC_Fight_Night_Blaydes_vs_dos_Santos
4,Jamahal Hill,Darko Sto\xc5\xa1i\xc4\x87,UFC_Fight_Night_Blaydes_vs_dos_Santos
5,Bevon Lewis,Dequan Townsend,UFC_Fight_Night_Blaydes_vs_dos_Santos
6,Arnold Allen,Nik Lentz,UFC_Fight_Night_Blaydes_vs_dos_Santos
7,Justine Kish,Lucie Pudilov\xc3\xa1,UFC_Fight_Night_Blaydes_vs_dos_Santos
8,Montel Jackson,Felipe Colares,UFC_Fight_Night_Blaydes_vs_dos_Santos
9,Sara McMann,Lina L\xc3\xa4nsberg,UFC_Fight_Night_Blaydes_vs_dos_Santos
10,Brett Johns,Tony Gravely,UFC_Fight_Night_Blaydes_vs_dos_Santos
11,Herbert Burns,Nate Landwehr,UFC_Fight_Night_Blaydes_vs_dos_Santos
