,winner,loser,weight_class,event
0,Frankie Edgar,B.J. Penn,Featherweight,The_Ultimate_Fighter_Team_Edgar_vs_Team_Penn
1,Corey Anderson,Matt Van Buren,Light Heavyweight,The_Ultimate_Fighter_Team_Edgar_vs_Team_Penn
2,Eddie Gordon,Dhiego Lima,Middleweight,The_Ultimate_Fighter_Team_Edgar_vs_Team_Penn
3,Derrick Lewis,Guto Inocente,Heavyweight,The_Ultimate_Fighter_Team_Edgar_vs_Team_Penn
4,Dustin Ortiz,Justin Scoggins,Flyweight,The_Ultimate_Fighter_Team_Edgar_vs_Team_Penn
5,Kevin Lee,Jesse Ronson,Lightweight,The_Ultimate_Fighter_Team_Edgar_vs_Team_Penn
6,Leandro Issa,Jumabieke Tuerxun,Bantamweight,The_Ultimate_Fighter_Team_Edgar_vs_Team_Penn
7,Adriano Martins,Juan Puig,Lightweight,The_Ultimate_Fighter_Team_Edgar_vs_Team_Penn
8,Patrick Walsh,Daniel Spohn,Light Heavyweight,The_Ultimate_Fighter_Team_Edgar_vs_Team_Penn
9,Sarah Moras,Alexis Dufresne,Catchweight (143 lbs),The_Ultimate_Fighter_Team_Edgar_vs_Team_Penn
10,Robert Drysdale,Keith Berish,Light Heavyweight,The_Ultimate_Fighter_Team_Edgar_vs_Team_Penn
