,winner,loser,weight_class,event
0,Robbie Lawler (c),Carlos Condit,Welterweight,UFC_195
1,Stipe Miocic,Andrei Arlovski,Heavyweight,UFC_195
2,Albert Tumenov,Lorenz Larkin,Welterweight,UFC_195
3,Brian Ortega,Diego Brand\xc3\xa3o,Featherweight,UFC_195
4,Abel Trujillo,Tony Sims,Lightweight,UFC_195
5,Michael McDonald,Masanori Kanehara,Bantamweight,UFC_195
6,Alex Morono,Kyle Noke,Welterweight,UFC_195
7,Justine Kish,Nina Ansaroff,Women\'s Strawweight,UFC_195
8,Drew Dober,Scott Holtzman,Lightweight,UFC_195
9,Dustin Poirier,Joseph Duffy,Lightweight,UFC_195
10,Michinori Tanaka,Joe Soto,Bantamweight,UFC_195
11,Sheldon Westcott,Edgar Garc\xc3\xada,Welterweight,UFC_195
