,winner,loser,event
0,Francis Ngannou,Junior dos Santos,UFC_on_ESPN_Ngannou_vs_dos_Santos
1,Joseph Benavidez,Jussier Formiga,UFC_on_ESPN_Ngannou_vs_dos_Santos
2,Demian Maia,Anthony Rocco Martin,UFC_on_ESPN_Ngannou_vs_dos_Santos
3,Vinc Pichel,Roosevelt Roberts,UFC_on_ESPN_Ngannou_vs_dos_Santos
4,Drew Dober,Marco Polo Reyes,UFC_on_ESPN_Ngannou_vs_dos_Santos
5,Alonzo Menifield,Paul Craig,UFC_on_ESPN_Ngannou_vs_dos_Santos
6,Ricardo Ramos,Journey Newson,UFC_on_ESPN_Ngannou_vs_dos_Santos
7,Eryk Anders,Vinicius Moreira,UFC_on_ESPN_Ngannou_vs_dos_Santos
8,Jared Gordon,Dan Moret,UFC_on_ESPN_Ngannou_vs_dos_Santos
9,Dalcha Lungiambula,Dequan Townsend,UFC_on_ESPN_Ngannou_vs_dos_Santos
10,Amanda Ribas,Emily Whitmire,UFC_on_ESPN_Ngannou_vs_dos_Santos
11,Maurice Greene,J\xc3\xbanior Albini,UFC_on_ESPN_Ngannou_vs_dos_Santos
