,winner,loser,weight_class,event
0,Jon Jones (c),Dan Henderson,Light Heavyweight,UFC_151
1,Jake Ellenberger,Jay Hieron,Welterweight,UFC_151
2,Dennis Siver,Eddie Yagin,Featherweight,UFC_151
3,Dennis Hallman,Thiago Tavares,Lightweight,UFC_151
4,John Lineker,Yasuhiro Urushitani,Flyweight,UFC_151
5,Michael Johnson,Danny Castillo,Lightweight,UFC_151
6,Takeya Mizugaki,Jeff Hougland,Bantamweight,UFC_151
7,Tim Means,Abel Trujillo,Lightweight,UFC_151
8,Daron Cruickshank,Henry Martinez,Lightweight,UFC_151
9,Shane Roller,Jacob Volkmann,Lightweight,UFC_151
10,Kyle Noke,Charlie Brenneman,Welterweight,UFC_151
