,winner,loser,weight_class,event
0,Stipe Miocic (c),Alistair Overeem,Heavyweight,UFC_203
1,Fabr\xc3\xadcio Werdum,Travis Browne,Heavyweight,UFC_203
2,Mickey Gall,CM Punk,Welterweight,UFC_203
3,Jimmie Rivera,Urijah Faber,Bantamweight,UFC_203
4,J\xc3\xa9ssica Andrade,Joanne Calderwood,Women\'s Strawweight,UFC_203
5,Bethe Correia,Jessica Eye,Women\'s Bantamweight,UFC_203
6,Brad Tavares,Caio Magalh\xc3\xa3es,Middleweight,UFC_203
7,Nik Lentz,Michael McBride,Catchweight (158 lbs),UFC_203
8,Drew Dober,Jason Gonzalez,Lightweight,UFC_203
9,Yancy Medeiros,Sean Spencer,Welterweight,UFC_203
