,winner,loser,weight_class,event
0,Tony Ferguson,Kevin Lee,Lightweight,UFC_216
1,Demetrious Johnson (c),Ray Borg,Flyweight,UFC_216
2,Fabr\xc3\xadcio Werdum,Walt Harris,Heavyweight,UFC_216
3,Mara Romero Borella,Kalindra Faria,Women\'s Flyweight,UFC_216
4,Beneil Dariush,Evan Dunham,Lightweight,UFC_216
5,Cody Stamann,Tom Duquesnoy,Bantamweight,UFC_216
6,Lando Vannata,Bobby Green,Lightweight,UFC_216
7,Poliana Botelho,Pearl Gonzalez,Women\'s Strawweight,UFC_216
8,Matt Schnell,Marco Beltr\xc3\xa1n,Flyweight,UFC_216
9,John Moraga,Magomed Bibulatov,Flyweight,UFC_216
10,Brad Tavares,Thales Leites,Middleweight,UFC_216
