,winner,loser,weight_class,event
0,Stipe Miocic (c),Junior dos Santos,Heavyweight,UFC_211
1,Joanna J\xc4\x99drzejczyk (c),J\xc3\xa9ssica Andrade,Women\'s Strawweight,UFC_211
2,Demian Maia,Jorge Masvidal,Welterweight,UFC_211
3,Frankie Edgar,Yair Rodr\xc3\xadguez,Featherweight,UFC_211
4,David Branch,Krzysztof Jotko,Middleweight,UFC_211
5,Eddie Alvarez,Dustin Poirier,Lightweight,UFC_211
6,Jason Knight,Chas Skelly,Featherweight,UFC_211
7,Chase Sherman,Rashad Coulter,Heavyweight,UFC_211
8,James Vick,Polo Reyes,Lightweight,UFC_211
9,Cortney Casey,Jessica Aguilar,Women\'s Strawweight,UFC_211
10,Enrique Barzola,Gabriel Ben\xc3\xadtez,Featherweight,UFC_211
11,Gadzhimurad Antigulov,Joachim Christensen,Light Heavyweight,UFC_211
