,winner,loser,weight_class,event
0,Daniel Cormier (c),Jon Jones,Light Heavyweight,UFC_214
1,Tyron Woodley (c),Demian Maia,Welterweight,UFC_214
2,Cris Cyborg,Tonya Evinger,Women\'s Featherweight,UFC_214
3,Robbie Lawler,Donald Cerrone,Welterweight,UFC_214
4,Volkan Oezdemir,Jimi Manuwa,Light Heavyweight,UFC_214
5,Ricardo Lamas,Jason Knight,Featherweight,UFC_214
6,Aljamain Sterling,Renan Bar\xc3\xa3o,Catchweight (140 lbs),UFC_214
7,Brian Ortega,Renato Moicano,Featherweight,UFC_214
8,Calvin Kattar,Andre Fili,Featherweight,UFC_214
9,Aleksandra Albu,Kailin Curran,Women\'s Strawweight,UFC_214
10,Jarred Brooks,Eric Shelton,Flyweight,UFC_214
11,Drew Dober,Josh Burkman,Lightweight,UFC_214
