,winner,loser,event
0,Anthony Smith,Volkan Oezdemir,UFC_Fight_Night_Volkan_vs_Smith
1,Michael Johnson,Artem Lobov,UFC_Fight_Night_Volkan_vs_Smith
2,Misha Cirkunov,Patrick Cummins,UFC_Fight_Night_Volkan_vs_Smith
3,Andre Soukhamthath,Jonathan Martinez,UFC_Fight_Night_Volkan_vs_Smith
4,Gian Villante,Ed Herman,UFC_Fight_Night_Volkan_vs_Smith
5,Court McGee,Alex Garcia,UFC_Fight_Night_Volkan_vs_Smith
6,Sean Strickland,Nordine Taleb,UFC_Fight_Night_Volkan_vs_Smith
7,Nasrat Haqparast,Thibault Gouti,UFC_Fight_Night_Volkan_vs_Smith
8,Calvin Kattar,Chris Fishgold,UFC_Fight_Night_Volkan_vs_Smith
9,Talita Bernardo,Sarah Moras,UFC_Fight_Night_Volkan_vs_Smith
10,Don Madge,Te Edwards,UFC_Fight_Night_Volkan_vs_Smith
11,Arjan Bhullar,Marcelo Golm,UFC_Fight_Night_Volkan_vs_Smith
12,Stevie Ray,Jessin Ayari,UFC_Fight_Night_Volkan_vs_Smith
