,winner,loser,weight_class,event
0,Anderson Silva (c),Demian Maia,Middleweight,UFC_112
1,Frankie Edgar,B.J. Penn (c),Lightweight,UFC_112
2,Matt Hughes,Renzo Gracie,Welterweight,UFC_112
3,Rafael dos Anjos,Terry Etim,Lightweight,UFC_112
4,Mark Mu\xc3\xb1oz,Kendall Grove,Middleweight,UFC_112
5,Phil Davis,Alexander Gustafsson,Light Heavyweight,UFC_112
6,Rick Story,Nick Osipczak,Welterweight,UFC_112
7,DaMarques Johnson,Brad Blackburn,Welterweight,UFC_112
8,Paul Kelly,Matt Veach,Lightweight,UFC_112
9,Jon Madsen,Mostapha al-Turk,Heavyweight,UFC_112
