,winner,loser,weight_class,event
0,Michael Johnson,Dustin Poirier,Lightweight,UFC_Fight_Night_Poirier_vs_Johnson
1,Derek Brunson,Uriah Hall,Middleweight,UFC_Fight_Night_Poirier_vs_Johnson
2,Evan Dunham,Rick Glenn,Lightweight,UFC_Fight_Night_Poirier_vs_Johnson
3,Roan Carneiro,Kenny Robertson,Welterweight,UFC_Fight_Night_Poirier_vs_Johnson
4,Islam Makhachev,Chris Wade,Lightweight,UFC_Fight_Night_Poirier_vs_Johnson
5,Chas Skelly,Maximo Blanco,Featherweight,UFC_Fight_Night_Poirier_vs_Johnson
6,Gabriel Ben\xc3\xadtez,Sam Sicilia,Featherweight,UFC_Fight_Night_Poirier_vs_Johnson
7,Belal Muhammad,Augusto Monta\xc3\xb1o,Welterweight,UFC_Fight_Night_Poirier_vs_Johnson
8,Ant\xc3\xb4nio Carlos J\xc3\xbanior,Leonardo Augusto Guimar\xc3\xa3es,Middleweight,UFC_Fight_Night_Poirier_vs_Johnson
9,Jos\xc3\xa9 Alberto Qui\xc3\xb1\xc3\xb3nez,Joey Gomez,Bantamweight,UFC_Fight_Night_Poirier_vs_Johnson
10,Randy Brown,Erick Monta\xc3\xb1o,Welterweight,UFC_Fight_Night_Poirier_vs_Johnson
11,Alejandro P\xc3\xa9rez,Albert Morales,Bantamweight,UFC_Fight_Night_Poirier_vs_Johnson
