,winner,loser,weight_class,event
0,Michael Bisping,Chris Leben,Middleweight,UFC_89
1,Keith Jardine,Brandon Vera,Light Heavyweight,UFC_89
2,Luiz Cane,Rameau Thierry Sokoudjou,Light Heavyweight,UFC_89
3,Chris Lytle,Paul Taylor,Welterweight,UFC_89
4,Marcus Davis,Paul Kelly,Welterweight,UFC_89
5,Dan Hardy,Akihiro Gono,Welterweight,UFC_89
6,Shane Carwin,Neil Wain,Heavyweight,UFC_89
7,David Bielkheden,Jess Liaudin,Lightweight,UFC_89
8,Terry Etim,Sam Stout,Lightweight,UFC_89
9,Jim Miller,David Baron,Lightweight,UFC_89
10,Per Eklund,Samy Schiavo,Lightweight,UFC_89
