,winner,loser,weight_class,event
0,Stipe Miocic,Mark Hunt,Heavyweight,UFC_Fight_Night_Miocic_vs_Hunt
1,Robert Whittaker,Brad Tavares,Middleweight,UFC_Fight_Night_Miocic_vs_Hunt
2,Sean O\'Connell,Anthony Perosh,Light Heavyweight,UFC_Fight_Night_Miocic_vs_Hunt
3,James Vick,Jake Matthews,Lightweight,UFC_Fight_Night_Miocic_vs_Hunt
4,Dan Hooker,Hatsu Hioki,Featherweight,UFC_Fight_Night_Miocic_vs_Hunt
5,Kyle Noke,Jonavin Webb,Welterweight,UFC_Fight_Night_Miocic_vs_Hunt
6,Sam Alvey,Dan Kelly,Middleweight,UFC_Fight_Night_Miocic_vs_Hunt
7,Bec Rawlings,Lisa Ellis,Women\'s Strawweight,UFC_Fight_Night_Miocic_vs_Hunt
8,Brad Scott,Dylan Andrews,Middleweight,UFC_Fight_Night_Miocic_vs_Hunt
9,Alex Chambers,Kailin Curran,Women\'s Strawweight,UFC_Fight_Night_Miocic_vs_Hunt
10,Brendan O\'Reilly,Vik Grujic,Welterweight,UFC_Fight_Night_Miocic_vs_Hunt
11,Ben Nguyen,Alptekin \xc3\x96zk\xc4\xb1l\xc4\xb1\xc3\xa7,Flyweight,UFC_Fight_Night_Miocic_vs_Hunt
