,winner,loser,weight_class,event
0,Chris Weidman (c),Lyoto Machida,Middleweight,UFC_175
1,Ronda Rousey (c),Alexis Davis,Women\'s Bantamweight,UFC_175
2,Uriah Hall,Thiago Santos,Middleweight,UFC_175
3,Russell Doane,Marcus Brimage,Bantamweight,UFC_175
4,Urijah Faber,Alex Caceres,Bantamweight,UFC_175
5,Kenny Robertson,Ildemar Alc\xc3\xa2ntara,Welterweight,UFC_175
6,Bruno Santos,Chris Camozzi,Middleweight,UFC_175
7,Rob Font,George Roop,Bantamweight,UFC_175
8,Luke Zachrich,Guilherme Vasconcelos,Middleweight,UFC_175
9,Kevin Casey,Bubba Bush,Middleweight,UFC_175
