,winner,loser,event
0,Kenny Florian,Takanori Gomi,UFC_Fight_Night_Florian_vs_Gomi
1,Roy Nelson,Stefan Struve,UFC_Fight_Night_Florian_vs_Gomi
2,Jorge Rivera,Nate Quarry,UFC_Fight_Night_Florian_vs_Gomi
3,Ross Pearson,Dennis Siver,UFC_Fight_Night_Florian_vs_Gomi
4,Andre Winner,Rafaello Oliveira,UFC_Fight_Night_Florian_vs_Gomi
5,Jacob Volkmann,Ronys Torres,UFC_Fight_Night_Florian_vs_Gomi
6,Nik Lentz,Rob Emerson,UFC_Fight_Night_Florian_vs_Gomi
7,Gleison Tibau,Caol Uno,UFC_Fight_Night_Florian_vs_Gomi
8,Yushin Okami,Lucio Linhares,UFC_Fight_Night_Florian_vs_Gomi
9,Gerald Harris,Mario Miranda,UFC_Fight_Night_Florian_vs_Gomi
10,Charlie Brenneman,Jason High,UFC_Fight_Night_Florian_vs_Gomi
