,winner,loser,weight_class,event
0,Conor McGregor,Nate Diaz,Welterweight,UFC_202
1,Anthony Johnson,Glover Teixeira,Light Heavyweight,UFC_202
2,Donald Cerrone,Rick Story,Welterweight,UFC_202
3, Mike Perry,Hyun Gyu Lim,Welterweight,UFC_202
4,Tim Means,Sabah Homasi,Welterweight,UFC_202
5,Cody Garbrandt,Takeya Mizugaki,Bantamweight,UFC_202
6,Raquel Pennington,Elizabeth Phillips,Women\'s Bantamweight,UFC_202
7,Artem Lobov,Chris Avila,Featherweight,UFC_202
8,Cortney Casey,Randa Markos,Women\'s Strawweight,UFC_202
9,Lorenz Larkin,Neil Magny,Welterweight,UFC_202
10,Colby Covington,Max Griffin,Welterweight,UFC_202
11,Marvin Vettori,Alberto Uda,Middleweight,UFC_202
