,winner,loser,event
0,Jon Jones,Alexander Gustafsson,UFC_232
1,Amanda Nunes,Cris Cyborg (c),UFC_232
2,Michael Chiesa,Carlos Condit,UFC_232
3,Corey Anderson,Ilir Latifi,UFC_232
4,Alexander Volkanovski,Chad Mendes,UFC_232
5,Walt Harris,Andrei Arlovski,UFC_232
6,Megan Anderson,Cat Zingano,UFC_232
7,Petr Yan,Douglas Silva de Andrade,UFC_232
8,Ryan Hall,B.J. Penn,UFC_232
9,Nathaniel Wood,Andre Ewell,UFC_232
10,Uriah Hall,Bevon Lewis,UFC_232
11,Curtis Millender,Siyar Bahadurzada,UFC_232
12,Montel Jackson,Brian Kelleher,UFC_232
