,winner,loser,weight_class,event
0,Tyron Woodley (c),Darren Till,Welterweight,UFC_228
1,J\xc3\xa9ssica Andrade,Karolina Kowalkiewicz,Women\'s Strawweight,UFC_228
2,Zabit Magomedsharipov,Brandon Davis,Featherweight,UFC_228
3,Jimmie Rivera,John Dodson,Bantamweight,UFC_228
4,Abdul Razak Alhassan,Niko Price,Welterweight,UFC_228
5,Tatiana Suarez,Carla Esparza,Women\'s Strawweight,UFC_228
6,Aljamain Sterling,Cody Stamann,Bantamweight,UFC_228
7,Geoff Neal,Frank Camacho,Welterweight,UFC_228
8,Darren Stewart,Charles Byrd,Middleweight,UFC_228
9,Diego Sanchez,Craig White,Welterweight,UFC_228
10,Jim Miller,Alex White,Lightweight,UFC_228
11,Irene Aldana,Lucie Pudilov\xc3\xa1,Women\'s Bantamweight,UFC_228
12,Jarred Brooks,Roberto Sanchez,Flyweight,UFC_228
