,winner,loser,weight_class,event
0,Israel Adesanya,Anderson Silva,Middleweight,UFC_234
1,Lando Vannata,Marcos Rosa Mariano,Lightweight,UFC_234
2,Ricky Simon,Rani Yahya,Bantamweight,UFC_234
3,Montana De La Rosa,Nadia Kassem,Women\'s Flyweight,UFC_234
4,Jimmy Crute,Sam Alvey,Light Heavyweight,UFC_234
5,Devonte Smith,Dong Hyun Ma,Lightweight,UFC_234
6,Shane Young,Austin Arnett,Featherweight,UFC_234
7,Kai Kara-France,Raulian Paiva,Flyweight,UFC_234
8,Kyung Ho Kang,Teruto Ishihara,Bantamweight,UFC_234
9,Jalin Turner,Callan Potter,Lightweight,UFC_234
10,Jonathan Martinez,Wuliji Buren,Bantamweight,UFC_234
