,winner,loser,weight_class,event
0,Cub Swanson,Jeremy Stephens,Featherweight,UFC_Fight_Night_Swanson_vs_Stephens
1,Kelvin Gastelum,Nico Musoke,Catchweight (172.75 lbs),UFC_Fight_Night_Swanson_vs_Stephens
2,Cezar Ferreira,Andrew Craig,Middleweight,UFC_Fight_Night_Swanson_vs_Stephens
3,Ricardo Lamas,Hacran Dias,Featherweight,UFC_Fight_Night_Swanson_vs_Stephens
4,Clint Hester,Ant\xc3\xb4nio Braga Neto,Middleweight,UFC_Fight_Night_Swanson_vs_Stephens
5,Joe Ellenberger,James Moontasri,Lightweight,UFC_Fight_Night_Swanson_vs_Stephens
6,Carlos Diego Ferreira,Colton Smith,Lightweight,UFC_Fight_Night_Swanson_vs_Stephens
7,Cody Gibson,Johnny Bedford,Bantamweight,UFC_Fight_Night_Swanson_vs_Stephens
8,Marcelo Guimar\xc3\xa3es,Andy Enz,Middleweight,UFC_Fight_Night_Swanson_vs_Stephens
9,Ray Borg,Shane Howell,Flyweight,UFC_Fight_Night_Swanson_vs_Stephens
10,Aleksei Oleinik,Anthony Hamilton,Heavyweight,UFC_Fight_Night_Swanson_vs_Stephens
