,winner,loser,event
0,Khabib Nurmagomedov (c),Dustin Poirier (ic),UFC_242
1,Paul Felder,Edson Barboza,UFC_242
2,Islam Makhachev,Davi Ramos,UFC_242
3,Curtis Blaydes,Shamil Abdurakhimov,UFC_242
4,Carlos Diego Ferreira,Mairbek Taisumov,UFC_242
5,Joanne Calderwood,Andrea Lee,UFC_242
6,Zubaira Tukhugov,Lerone Murphy,UFC_242
7,Sarah Moras,Liana Jojua,UFC_242
8,Ottman Azaitar,Teemu Packal\xc3\xa9n,UFC_242
9,Belal Muhammad,Takashi Sato,UFC_242
10,Muslim Salikhov,Nordine Taleb,UFC_242
11,Omari Akhmedov,Zak Cummings,UFC_242
12,Don Madge,Fares Ziam,UFC_242
