,winner,loser,weight_class,event
0,Michael Bisping,Luke Rockhold (c),Middleweight,UFC_199
1,Dominick Cruz (c),Urijah Faber,Bantamweight,UFC_199
2,Max Holloway,Ricardo Lamas,Featherweight,UFC_199
3,Dan Henderson,Hector Lombard,Middleweight,UFC_199
4,Dustin Poirier,Bobby Green,Lightweight,UFC_199
5,Brian Ortega,Clay Guida,Featherweight,UFC_199
6,Beneil Dariush,James Vick,Lightweight,UFC_199
7,J\xc3\xa9ssica Andrade,Jessica Penne,Women\'s Strawweight,UFC_199
8,Alex Caceres,Cole Miller,Featherweight,UFC_199
9,Sean Strickland,Tom Breese,Welterweight,UFC_199
10,Henrique da Silva,Jonathan Wilson,Light Heavyweight,UFC_199
11,Kevin Casey,Elvis Mutapcic,Middleweight,UFC_199
12,Polo Reyes,Dong Hyun Kim,Lightweight,UFC_199
