,winner,loser,weight_class,event
0,Daniel Cormier,Stipe Miocic (c),Heavyweight,UFC_226
1,Derrick Lewis,Francis Ngannou,Heavyweight,UFC_226
2,Mike Perry,Paul Felder,Welterweight,UFC_226
3,Anthony Pettis,Michael Chiesa,Catchweight (157.5 lbs),UFC_226
4,Khalil Rountree Jr.,G\xc3\xb6khan Saki,Light Heavyweight,UFC_226
5,Paulo Costa,Uriah Hall,Middleweight,UFC_226
6,Raphael Assun\xc3\xa7\xc3\xa3o,Rob Font,Bantamweight,UFC_226
7,Drakkar Klose,Lando Vannata,Lightweight,UFC_226
8,Curtis Millender,Max Griffin,Welterweight,UFC_226
9,Dan Hooker,Gilbert Burns,Lightweight,UFC_226
10,Emily Whitmire,Jamie Moyle,Women\'s Strawweight,UFC_226
