,winner,loser,event
0,Max Holloway (c),Jos\xc3\xa9 Aldo ,UFC_218
1,Francis Ngannou,Alistair Overeem,UFC_218
2,Henry Cejudo,Sergio Pettis,UFC_218
3,Eddie Alvarez,Justin Gaethje,UFC_218
4,Tecia Torres,Michelle Waterson,UFC_218
5,Paul Felder,Charles Oliveira,UFC_218
6,Yancy Medeiros,Alex Oliveira,UFC_218
7,David Teymur,Drakkar Klose,UFC_218
8,Felice Herrig,Cortney Casey,UFC_218
9,Amanda Cooper,Angela Maga\xc3\xb1a,UFC_218
10,Abdul Razak Alhassan,Sabah Homasi,UFC_218
11,Dominick Reyes,Jeremy Kimball,UFC_218
12,Justin Willis,Allen Crowder,UFC_218
