,winner,loser,event
0,Dustin Poirier,Max Holloway,UFC_236
1,Israel Adesanya,Kelvin Gastelum,UFC_236
2,Khalil Rountree Jr.,Eryk Anders,UFC_236
3,Dwight Grant,Alan Jouban,UFC_236
4,Nikita Krylov,Ovince Saint Preux,UFC_236
5,Matt Frevola,Jalin Turner,UFC_236
6,Alexandre Pantoja,Wilson Reis,UFC_236
7,Max Griffin,Zelim Imadaev,UFC_236
8,Khalid Taha,Boston Salmon,UFC_236
9,Belal Muhammad,Curtis Millender,UFC_236
10,Montel Jackson,Andre Soukhamthath,UFC_236
11,Poliana Botelho,Lauren Mueller,UFC_236
12,Brandon Davis,Randy Costa,UFC_236
