,winner,loser,event
0,Jon Jones (c),Lyoto Machida,UFC_140
1,Frank Mir,Ant\xc3\xb4nio Rodrigo Nogueira,UFC_140
2,Ant\xc3\xb4nio Rog\xc3\xa9rio Nogueira,Tito Ortiz,UFC_140
3,Brian Ebersole,Claude Patrick,UFC_140
4,Chan Sung Jung,Mark Hominick,UFC_140
5,Igor Pokrajac,Krzysztof Soszynski,UFC_140
6,Costas Philippou,Jared Hamman,UFC_140
7,Dennis Hallman,John Makdessi,UFC_140
8,Yves Jabouin,Walel Watson,UFC_140
9,Mark Bocek,Nik Lentz,UFC_140
10,Jake Hecht,Rich Attonito,UFC_140
11,John Cholish,Mitch Clarke,UFC_140
