,winner,loser,weight_class,event
0,Demetrious Johnson (c),Ali Bagautinov,Flyweight,UFC_174
1,Rory MacDonald,Tyron Woodley,Welterweight,UFC_174
2,Ryan Bader,Rafael Cavalcante,Light Heavyweight,UFC_174
3,Andrei Arlovski,Brendan Schaub,Heavyweight,UFC_174
4,Ovince Saint Preux,Ryan Jimmo,Light Heavyweight,UFC_174
5,Kiichi Kunimoto,Daniel Sarafian,Welterweight,UFC_174
6,Val\xc3\xa9rie L\xc3\xa9tourneau,Elizabeth Phillips,Women\'s Bantamweight,UFC_174
7,Yves Jabouin,Mike Easton,Bantamweight,UFC_174
8,Tae Hyun Bang,Kajan Johnson,Lightweight,UFC_174
9,Michinori Tanaka,Roland Delorme,Bantamweight,UFC_174
10,Jason Saggo,Josh Shockley,Lightweight,UFC_174
